,CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
1196,2,126,Reputation,14082,6,4235,0,3320,667,88
1197,4,126,Reputation,14082,3,4235,0,3320,733,88
1198,3,126,Reputation,14082,2,4235,0,3320,734,88
1199,2,126,Reputation,14082,3,4235,0,3320,759,88
1200,0,126,Reputation,14082,0,4235,0,3320,771,88
1201,0,126,Reputation,14082,4,4235,0,3320,792,88
1202,2,126,Reputation,14082,5,4235,0,3320,842,88
1203,1,126,Reputation,14082,0,4235,0,3320,850,88
1204,3,126,Reputation,14082,6,4235,0,3320,908,88
1205,6,126,Reputation,14082,3,4235,0,3320,910,88
1206,0,126,Reputation,14082,3,4235,0,3320,914,88
1207,2,126,Reputation,14082,1,4235,0,3320,930,88
1208,0,126,Reputation,14082,2,4235,0,3320,960,88
1209,6,126,Reputation,14082,10,4235,0,3320,1004,88
1210,0,126,Reputation,14082,2,4235,0,3320,1018,88
1211,3,126,Reputation,14082,2,4235,0,3320,1019,88
1212,0,126,Reputation,14082,2,4235,0,3320,1020,88
1213,0,126,Reputation,14082,2,4235,0,3320,1021,88
1214,0,126,Reputation,14082,4,4235,0,3320,1106,88
1215,5,126,Reputation,14082,2,4235,0,3320,1183,88
1216,7,126,Reputation,14082,3,4235,0,3320,1263,88
1217,3,126,Reputation,14082,0,4235,0,3320,1290,88
1218,3,126,Reputation,14082,1,4235,0,3320,1294,88
1219,2,126,Reputation,14082,6,4235,0,3320,1322,88
1220,0,126,Reputation,14082,2,4235,0,3320,1362,88
1221,1,126,Reputation,14082,2,4235,0,3320,1372,88
1222,0,126,Reputation,14082,1,4235,0,3320,1373,88
1223,3,126,Reputation,14082,7,4235,0,3320,1374,88
1224,1,126,Reputation,14082,2,4235,0,3320,1702,88
1225,0,126,Reputation,14082,0,4235,0,3320,1712,88
1226,0,126,Reputation,14082,8,4235,0,3320,1765,88
1227,4,126,Reputation,14082,3,4235,0,3320,1791,88
1228,0,126,Reputation,14082,2,4235,0,3320,1798,88
1229,3,126,Reputation,14082,4,4235,0,3320,1840,88
1230,5,126,Reputation,14082,2,4235,0,3320,1858,88
1231,1,126,Reputation,14082,2,4235,0,3320,1890,88
1232,4,126,Reputation,14082,3,4235,0,3320,1946,88
1233,0,126,Reputation,14082,2,4235,0,3320,1950,88
1234,2,126,Reputation,14082,3,4235,0,3320,1984,88
1235,3,126,Reputation,14082,3,4235,0,3320,2097,88
1236,3,126,Reputation,14082,2,4235,0,3320,2157,88
1237,0,126,Reputation,14082,17,4235,2486,3320,2179,88
1238,1,126,Reputation,14082,5,4235,0,3320,2206,88
1239,0,126,Reputation,14082,1,4235,0,3320,2225,88
1240,0,126,Reputation,14082,6,4235,0,3320,2246,88
1241,0,126,Reputation,14082,0,4235,0,3320,2254,88
1242,1,126,Reputation,14082,2,4235,0,3320,2340,88
1243,4,126,Reputation,14082,5,4235,0,3320,2355,88
1244,0,126,Reputation,14082,8,4235,0,3320,2359,88
1245,7,126,Reputation,14082,10,4235,0,3320,2362,88
1246,0,126,Reputation,14082,0,4235,0,3320,2416,88
1247,0,126,Reputation,14082,0,4235,0,3320,2417,88
1248,0,126,Reputation,14082,5,4235,0,3320,2435,88
1249,0,126,Reputation,14082,1,4235,0,3320,2436,88
1250,0,126,Reputation,14082,10,4235,2740,3320,2455,88
1251,0,126,Reputation,14082,2,4235,0,3320,2694,88
1252,5,126,Reputation,14082,1,4235,0,3320,2712,88
1253,0,126,Reputation,14082,24,4235,0,3320,2718,88
1254,5,126,Reputation,14082,2,4235,0,3320,2729,88
1255,1,126,Reputation,14082,2,4235,0,3320,2735,88
1256,2,126,Reputation,14082,6,4235,0,3320,2741,88
1257,0,126,Reputation,14082,3,4235,0,3320,2798,88
1258,0,126,Reputation,14082,5,4235,0,3320,3011,88
1259,0,126,Reputation,14082,0,4235,0,3320,3012,88
1260,0,126,Reputation,14082,0,4235,0,3320,3013,88
1261,0,126,Reputation,14082,0,4235,0,3320,3014,88
1262,0,126,Reputation,14082,0,4235,0,3320,3015,88
1263,0,126,Reputation,14082,0,4235,0,3320,3016,88
1264,0,126,Reputation,14082,0,4235,0,3320,3017,88
1265,0,126,Reputation,14082,0,4235,0,3320,3018,88
1266,0,126,Reputation,14082,0,4235,0,3320,3019,88
1267,0,126,Reputation,14082,3,4235,0,3320,3050,88
1268,1,126,Reputation,14082,3,4235,0,3320,3073,88
1269,1,126,Reputation,14082,5,4235,0,3320,3074,88
1270,1,126,Reputation,14082,8,4235,0,3320,3076,88
1271,0,126,Reputation,14082,7,4235,0,3320,3237,88
1272,1,126,Reputation,14082,3,4235,0,3320,3284,88
1273,2,126,Reputation,14082,1,4235,0,3320,3382,88
1274,0,126,Reputation,14082,2,4235,0,3320,3437,88
1275,0,126,Reputation,14082,3,4235,0,3320,3452,88
1276,3,126,Reputation,14082,10,4235,0,3320,3515,88
1277,1,126,Reputation,14082,4,4235,0,3320,3674,88
1278,5,126,Reputation,14082,1,4235,0,3320,3740,88
1279,1,126,Reputation,14082,6,4235,0,3320,3800,88
1280,2,126,Reputation,14082,3,4235,0,3320,3801,88
1281,3,126,Reputation,14082,18,4235,0,3320,3940,88
1282,4,126,Reputation,14082,3,4235,0,3320,3941,88
1283,1,126,Reputation,14082,11,4235,0,3320,3949,88
1284,3,126,Reputation,14082,64,4235,0,3320,3954,88
1285,0,126,Reputation,14082,5,4235,0,3320,3956,88
1286,2,126,Reputation,14082,2,4235,0,3320,4006,88
1287,7,126,Reputation,14082,4,4235,0,3320,4020,88
1288,2,126,Reputation,14082,1,4235,0,3320,4026,88
1289,4,126,Reputation,14082,10,4235,0,3320,4064,88
1290,0,126,Reputation,14082,15,4235,1230,3320,4211,88
1291,6,126,Reputation,14082,3,4235,0,3320,4438,88
1292,0,126,Reputation,14082,5,4235,0,3320,4481,88
1293,2,126,Reputation,14082,4,4235,0,3320,4562,88
1294,4,126,Reputation,14082,3,4235,0,3320,4587,88
1295,0,126,Reputation,14082,5,4235,0,3320,4714,88
1296,8,126,Reputation,14082,2,4235,0,3320,4819,88
1297,7,126,Reputation,14082,4,4235,0,3320,4845,88
1298,0,126,Reputation,14082,2,4235,0,3320,4847,88
1299,0,126,Reputation,14082,1,4235,0,3320,4874,88
1300,0,126,Reputation,14082,4,4235,0,3320,4880,88
1301,1,126,Reputation,14082,4,4235,0,3320,5094,88
1302,1,126,Reputation,14082,7,4235,0,3320,5099,88
1303,3,126,Reputation,14082,3,4235,0,3320,5113,88
1304,4,126,Reputation,14082,20,4235,0,3320,5140,88
1305,2,126,Reputation,14082,0,4235,0,3320,5243,88
1306,14,126,Reputation,14082,14,4235,0,3320,5311,88
1307,1,126,Reputation,14082,7,4235,0,3320,5379,88
1308,0,126,Reputation,14082,1,4235,0,3320,5574,88
1309,1,126,Reputation,14082,6,4235,0,3320,5575,88
1310,2,126,Reputation,14082,3,4235,0,3320,5648,88
1311,0,126,Reputation,14082,5,4235,0,3320,5701,88
1312,8,126,Reputation,14082,3,4235,0,3320,5812,88
1313,0,126,Reputation,14082,2,4235,0,3320,6029,88
1314,4,126,Reputation,14082,7,4235,0,3320,6030,88
1315,5,126,Reputation,14082,4,4235,0,3320,6100,88
1316,0,126,Reputation,14082,0,4235,0,3320,6136,88
1317,0,126,Reputation,14082,0,4235,0,3320,6137,88
1318,2,126,Reputation,14082,3,4235,0,3320,6161,88
1319,1,126,Reputation,14082,14,4235,0,3320,6190,88
1320,1,126,Reputation,14082,1,4235,0,3320,6273,88
1321,4,126,Reputation,14082,22,4235,3093,3320,6298,88
1322,1,126,Reputation,14082,3,4235,0,3320,6419,88
1323,0,126,Reputation,14082,1,4235,0,3320,6451,88
1324,2,126,Reputation,14082,0,4235,0,3320,6595,88
1325,2,126,Reputation,14082,0,4235,0,3320,7215,88
1326,1,126,Reputation,14082,2,4235,0,3320,7222,88
1327,1,126,Reputation,14082,9,4235,0,3320,7304,88
1328,0,126,Reputation,14082,4,4235,0,3320,7324,88
1329,1,126,Reputation,14082,5,4235,0,3320,7349,88
1330,7,126,Reputation,14082,11,4235,0,3320,7622,88
1331,0,126,Reputation,14082,2,4235,0,3320,7858,88
1332,0,126,Reputation,14082,6,4235,0,3320,7904,88
1333,3,126,Reputation,14082,2,4235,0,3320,7905,88
1334,3,126,Reputation,14082,2,4235,0,3320,7965,88
1335,0,126,Reputation,14082,29,4235,0,3320,8077,88
1336,0,126,Reputation,14082,0,4235,0,3320,8362,88
1337,3,126,Reputation,14082,10,4235,0,3320,8650,88
1338,0,126,Reputation,14082,2,4235,0,3320,8831,88
1339,0,126,Reputation,14082,8,4235,0,3320,8914,88
1340,0,126,Reputation,14082,2,4235,0,3320,8919,88
1341,0,126,Reputation,14082,17,4235,0,3320,8978,88
1342,3,126,Reputation,14082,7,4235,0,3320,9084,88
1343,0,126,Reputation,14082,2,4235,0,3320,9133,88
1344,0,126,Reputation,14082,2,4235,0,3320,9163,88
1345,0,126,Reputation,14082,3,4235,0,3320,9328,88
1346,1,126,Reputation,14082,2,4235,0,3320,9371,88
1347,1,126,Reputation,14082,2,4235,0,3320,9373,88
1348,1,126,Reputation,14082,2,4235,0,3320,9374,88
1349,0,126,Reputation,14082,1,4235,0,3320,9644,88
1350,0,126,Reputation,14082,2,4235,0,3320,9777,88
1351,10,126,Reputation,14082,2,4235,0,3320,9901,88
1352,0,126,Reputation,14082,1,4235,0,3320,9946,88
1353,0,126,Reputation,14082,4,4235,0,3320,9956,88
1354,3,126,Reputation,14082,17,4235,0,3320,10028,88
1355,1,126,Reputation,14082,2,4235,0,3320,10203,88
1356,0,126,Reputation,14082,3,4235,0,3320,10446,88
1357,0,126,Reputation,14082,5,4235,0,3320,10483,88
1358,0,126,Reputation,14082,2,4235,1356,3320,10501,88
1359,6,126,Reputation,14082,4,4235,0,3320,10561,88
1360,4,126,Reputation,14082,2,4235,0,3320,10804,88
1361,4,126,Reputation,14082,5,4235,0,3320,10834,88
1362,7,126,Reputation,14082,6,4235,0,3320,11199,88
1363,2,126,Reputation,14082,11,4235,0,3320,11471,88
1364,2,126,Reputation,14082,5,4235,0,3320,11606,88
1365,1,126,Reputation,14082,4,4235,0,3320,11608,88
1366,0,126,Reputation,14082,1,4235,0,3320,11705,88
1367,0,126,Reputation,14082,4,4235,0,3320,11711,88
1368,4,126,Reputation,14082,0,4235,0,3320,11845,88
1369,2,126,Reputation,14082,6,4235,0,3320,11999,88
1370,1,126,Reputation,14082,4,4235,0,3320,12038,88
1371,2,126,Reputation,14082,1,4235,0,3320,12064,88
1372,0,126,Reputation,14082,4,4235,0,3320,12413,88
1373,1,126,Reputation,14082,10,4235,649,3320,12763,88
1374,2,126,Reputation,14082,4,4235,0,3320,12910,88
1375,1,126,Reputation,14082,8,4235,0,3320,13008,88
1376,0,126,Reputation,14082,0,4235,0,3320,13029,88
1377,0,126,Reputation,14082,0,4235,0,3320,13030,88
1378,3,126,Reputation,14082,2,4235,0,3320,13167,88
1379,1,126,Reputation,14082,6,4235,0,3320,13190,88
1380,0,126,Reputation,14082,2,4235,0,3320,13490,88
1381,2,126,Reputation,14082,2,4235,0,3320,13538,88
1382,0,126,Reputation,14082,10,4235,0,3320,13539,88
1383,3,126,Reputation,14082,8,4235,0,3320,13547,88
1384,2,126,Reputation,14082,12,4235,0,3320,13601,88
1385,0,126,Reputation,14082,1,4235,0,3320,13639,88
1386,6,126,Reputation,14082,4,4235,0,3320,13640,88
1387,0,126,Reputation,14082,0,4235,0,3320,13641,88
1388,0,126,Reputation,14082,0,4235,0,3320,13642,88
1389,2,126,Reputation,14082,3,4235,0,3320,13874,88
1390,0,126,Reputation,14082,1,4235,0,3320,13933,88
1391,0,126,Reputation,14082,3,4235,0,3320,14042,88
1392,2,126,Reputation,14082,3,4235,0,3320,14049,88
1393,10,126,Reputation,14082,2,4235,0,3320,14236,88
1394,0,126,Reputation,14082,1,4235,0,3320,14575,88
1395,0,126,Reputation,14082,2,4235,0,3320,14967,88
1396,0,126,Reputation,14082,3,4235,0,3320,15019,88
1397,6,126,Reputation,14082,2,4235,0,3320,15215,88
1398,1,126,Reputation,14082,2,4235,0,3320,15764,88
1399,2,126,Reputation,14082,5,4235,0,3320,16049,88
1400,2,126,Reputation,14082,8,4235,0,3320,16114,88
1401,0,126,Reputation,14082,1,4235,0,3320,16363,88
1402,0,126,Reputation,14082,2,4235,0,3320,16794,88
1403,1,126,Reputation,14082,4,4235,0,3320,16850,88
1404,8,126,Reputation,14082,1,4235,0,3320,17530,88
1405,3,126,Reputation,14082,12,4235,0,3320,17620,88
1406,3,126,Reputation,14082,3,4235,0,3320,17674,88
1407,4,126,Reputation,14082,1,4235,0,3320,17993,88
1408,1,126,Reputation,14082,4,4235,0,3320,18005,88
1409,1,126,Reputation,14082,3,4235,0,3320,18063,88
1410,2,126,Reputation,14082,10,4235,0,3320,18220,88
1411,0,126,Reputation,14082,4,4235,0,3320,18818,88
1412,0,126,Reputation,14082,10,4235,0,3320,19232,88
1413,4,126,Reputation,14082,3,4235,0,3320,19718,88
1414,0,126,Reputation,14082,1,4235,0,3320,20761,88
1415,5,126,Reputation,14082,4,4235,0,3320,21511,88
1416,0,126,Reputation,14082,9,4235,0,3320,21621,88
1417,1,126,Reputation,14082,1,4235,0,3320,21622,88
1418,5,126,Reputation,14082,4,4235,0,3320,21870,88
1419,2,126,Reputation,14082,7,4235,0,3320,21938,88
1420,1,126,Reputation,14082,2,4235,0,3320,23178,88
1421,0,126,Reputation,14082,5,4235,0,3320,23203,88
1422,0,126,Reputation,14082,3,4235,0,3320,23533,88
1423,0,126,Reputation,14082,1,4235,0,3320,23534,88
1424,0,126,Reputation,14082,0,4235,0,3320,23603,88
1425,2,126,Reputation,14082,1,4235,0,3320,23806,88
1426,0,126,Reputation,14082,0,4235,0,3320,24435,88
1427,0,126,Reputation,14082,0,4235,0,3320,24436,88
1428,8,126,Reputation,14082,25,4235,0,3320,25692,88
1429,3,126,Reputation,14082,4,4235,0,3320,26120,88
1430,0,126,Reputation,14082,3,4235,0,3320,26878,88
1431,0,126,Reputation,14082,6,4235,0,3320,28132,88
1432,0,126,Reputation,14082,0,4235,0,3320,28985,88
1433,0,126,Reputation,14082,7,4235,0,3320,29078,88
1434,1,126,Reputation,14082,4,4235,0,3320,29145,88
1435,0,126,Reputation,14082,3,4235,0,3320,29375,88
1436,2,126,Reputation,14082,3,4235,0,3320,29444,88
1437,0,126,Reputation,14082,4,4235,316,3320,29717,88
1438,2,126,Reputation,14082,1,4235,0,3320,30635,88
1439,2,126,Reputation,14082,9,4235,0,3320,30727,88
1440,0,126,Reputation,14082,8,4235,0,3320,30747,88
1441,0,126,Reputation,14082,1,4235,0,3320,31117,88
1442,1,126,Reputation,14082,2,4235,0,3320,31429,88
1443,4,126,Reputation,14082,1,4235,0,3320,32069,88
1444,2,126,Reputation,14082,2,4235,0,3320,33466,88
1445,0,126,Reputation,14082,1,4235,0,3320,33701,88
1446,1,126,Reputation,14082,7,4235,0,3320,34051,88
1447,5,126,Reputation,14082,-1,4235,0,3320,34432,88
1448,3,126,Reputation,14082,19,4235,0,3320,37382,88
1449,0,126,Reputation,14082,5,4235,0,3320,37490,88
1450,2,126,Reputation,14082,2,4235,0,3320,38499,88
1451,0,126,Reputation,14082,5,4235,0,3320,38769,88
1452,2,126,Reputation,14082,3,4235,0,3320,40508,88
1453,1,126,Reputation,14082,7,4235,0,3320,40866,88
1454,1,126,Reputation,14082,5,4235,0,3320,41107,88
1455,1,126,Reputation,14082,1,4235,0,3320,41108,88
1456,0,126,Reputation,14082,1,4235,0,3320,41322,88
1457,5,126,Reputation,14082,6,4235,0,3320,43372,88
1458,10,126,Reputation,14082,-1,4235,0,3320,43651,88
1459,3,126,Reputation,14082,4,4235,0,3320,43700,88
1460,0,126,Reputation,14082,1,4235,0,3320,45620,88
1461,0,126,Reputation,14082,0,4235,0,3320,45621,88
1462,3,126,Reputation,14082,1,4235,0,3320,46387,88
1463,1,126,Reputation,14082,7,4235,0,3320,46392,88
1464,1,126,Reputation,14082,5,4235,0,3320,46971,88
1465,0,126,Reputation,14082,6,4235,0,3320,47427,88
1466,0,126,Reputation,14082,0,4235,0,3320,48617,88
1467,1,126,Reputation,14082,8,4235,0,3320,49250,88
1468,1,126,Reputation,14082,1,4235,0,3320,49301,88
1469,0,126,Reputation,14082,12,4235,0,3320,49698,88
1470,1,126,Reputation,14082,4,4235,0,3320,49986,88
1471,1,126,Reputation,14082,2,4235,0,3320,50060,88
1472,3,126,Reputation,14082,3,4235,0,3320,51652,88
1473,1,126,Reputation,14082,1,4235,0,3320,52492,88
1474,0,126,Reputation,14082,9,4235,0,3320,55483,88
1475,0,126,Reputation,14082,2,4235,0,3320,55611,88
1476,8,126,Reputation,14082,8,4235,0,3320,58015,88
1477,0,126,Reputation,14082,9,4235,0,3320,58980,88
1478,3,126,Reputation,14082,10,4235,0,3320,59632,88
1479,0,126,Reputation,14082,0,4235,0,3320,59761,88
1480,0,126,Reputation,14082,5,4235,0,3320,60168,88
1481,0,126,Reputation,14082,1,4235,0,3320,63297,88
1482,1,126,Reputation,14082,2,4235,0,3320,74473,88
1483,9,126,Reputation,14082,2,4235,0,3320,77180,88
1484,0,126,Reputation,14082,1,4235,0,3320,77476,88
1485,0,126,Reputation,14082,2,4235,0,3320,78646,88
1486,1,126,Reputation,14082,0,4235,0,3320,85522,88
1487,2,126,Reputation,14082,1,4235,0,3320,86138,88
1488,0,126,Reputation,14082,1,4235,0,3320,88906,88
1489,5,126,Reputation,14082,3,4235,0,3320,90653,88
1490,0,126,Reputation,14082,0,4235,0,3320,93093,88
1491,2,126,Reputation,14082,2,4235,0,3320,93923,88
1492,0,126,Reputation,14082,2,4235,0,3320,105458,88
1493,3,126,Reputation,14082,1,4235,0,3320,111142,88
1733,4,59,Reputation,18283,10,1014,0,3781,167,159
1734,0,59,Reputation,18283,2,1014,0,3781,169,159
1735,0,59,Reputation,18283,8,1014,0,3781,171,159
1736,0,59,Reputation,18283,35,1014,0,3781,174,159
1737,2,59,Reputation,18283,22,1014,0,3781,177,159
1738,0,59,Reputation,18283,12,1014,0,3781,179,159
1739,0,59,Reputation,18283,50,1014,39097,3781,181,159
1740,0,59,Reputation,18283,6,1014,0,3781,184,159
1741,3,59,Reputation,18283,51,1014,9772,3781,213,159
1742,2,59,Reputation,18283,15,1014,0,3781,221,159
1743,2,59,Reputation,18283,10,1014,0,3781,229,159
1744,4,59,Reputation,18283,12,1014,0,3781,261,159
1745,2,59,Reputation,18283,27,1014,0,3781,370,159
1746,0,59,Reputation,18283,8,1014,0,3781,530,159
1747,0,59,Reputation,18283,4,1014,0,3781,531,159
1748,5,59,Reputation,18283,12,1014,0,3781,532,159
1749,6,59,Reputation,18283,44,1014,11149,3781,534,159
1750,3,59,Reputation,18283,14,1014,0,3781,541,159
1751,6,59,Reputation,18283,31,1014,0,3781,587,159
1752,0,59,Reputation,18283,9,1014,0,3781,610,159
1753,0,59,Reputation,18283,15,1014,3833,3781,622,159
1754,2,59,Reputation,18283,4,1014,0,3781,625,159
1755,6,59,Reputation,18283,74,1014,0,3781,729,159
1756,5,59,Reputation,18283,146,1014,0,3781,730,159
1757,4,59,Reputation,18283,16,1014,0,3781,862,159
1758,0,59,Reputation,18283,6,1014,0,3781,872,159
1759,0,59,Reputation,18283,3,1014,0,3781,883,159
1760,6,59,Reputation,18283,24,1014,0,3781,1026,159
1761,2,59,Reputation,18283,20,1014,0,3781,1055,159
1762,2,59,Reputation,18283,6,1014,0,3781,1086,159
1763,3,59,Reputation,18283,36,1014,0,3781,1150,159
1764,8,59,Reputation,18283,29,1014,0,3781,1153,159
1765,0,59,Reputation,18283,5,1014,0,3781,1158,159
1766,0,59,Reputation,18283,4,1014,0,3781,1161,159
1767,11,59,Reputation,18283,9,1014,0,3781,1206,159
1768,6,59,Reputation,18283,17,1014,0,3781,1214,159
1769,2,59,Reputation,18283,3,1014,0,3781,1216,159
1770,3,59,Reputation,18283,5,1014,0,3781,1277,159
1771,5,59,Reputation,18283,9,1014,0,3781,1295,159
1772,0,59,Reputation,18283,36,1014,0,3781,1382,159
1773,3,59,Reputation,18283,5,1014,0,3781,1428,159
1774,0,59,Reputation,18283,11,1014,0,3781,1442,159
1775,5,59,Reputation,18283,66,1014,28878,3781,1444,159
1776,2,59,Reputation,18283,4,1014,0,3781,1472,159
1777,1,59,Reputation,18283,7,1014,0,3781,1497,159
1778,2,59,Reputation,18283,6,1014,0,3781,1570,159
1779,1,59,Reputation,18283,6,1014,0,3781,1585,159
1780,0,59,Reputation,18283,27,1014,0,3781,1630,159
1781,2,59,Reputation,18283,17,1014,0,3781,1639,159
1782,1,59,Reputation,18283,8,1014,0,3781,1647,159
1783,4,59,Reputation,18283,7,1014,0,3781,1720,159
1784,1,59,Reputation,18283,1,1014,0,3781,1774,159
1785,4,59,Reputation,18283,14,1014,0,3781,1806,159
1786,0,59,Reputation,18283,2,1014,0,3781,1938,159
1787,2,59,Reputation,18283,6,1014,0,3781,2204,159
1788,3,59,Reputation,18283,1,1014,0,3781,2292,159
1789,4,59,Reputation,18283,6,1014,0,3781,2330,159
1790,12,59,Reputation,18283,7,1014,0,3781,2367,159
1791,0,59,Reputation,18283,5,1014,0,3781,2387,159
1792,0,59,Reputation,18283,18,1014,0,3781,2724,159
1793,0,59,Reputation,18283,3,1014,0,3781,2924,159
1794,2,59,Reputation,18283,9,1014,0,3781,3002,159
1795,2,59,Reputation,18283,6,1014,0,3781,3032,159
1796,0,59,Reputation,18283,9,1014,0,3781,3128,159
1797,2,59,Reputation,18283,3,1014,0,3781,3129,159
1798,0,59,Reputation,18283,20,1014,0,3781,3184,159
1799,0,59,Reputation,18283,0,1014,0,3781,3189,159
1800,0,59,Reputation,18283,0,1014,0,3781,3190,159
1801,4,59,Reputation,18283,4,1014,0,3781,3224,159
1802,2,59,Reputation,18283,5,1014,0,3781,3255,159
1803,0,59,Reputation,18283,8,1014,0,3781,3408,159
1804,1,59,Reputation,18283,25,1014,0,3781,3543,159
1805,2,59,Reputation,18283,25,1014,0,3781,3553,159
1806,1,59,Reputation,18283,5,1014,0,3781,3581,159
1807,0,59,Reputation,18283,6,1014,0,3781,3617,159
1808,4,59,Reputation,18283,32,1014,0,3781,3733,159
1809,6,59,Reputation,18283,12,1014,366,3781,3752,159
1810,0,59,Reputation,18283,3,1014,0,3781,3870,159
1811,0,59,Reputation,18283,6,1014,0,3781,4096,159
1812,0,59,Reputation,18283,8,1014,0,3781,4103,159
1813,6,59,Reputation,18283,6,1014,0,3781,4149,159
1814,4,59,Reputation,18283,3,1014,0,3781,4156,159
1815,2,59,Reputation,18283,4,1014,0,3781,4372,159
1816,2,59,Reputation,18283,5,1014,0,3781,4378,159
1817,6,59,Reputation,18283,3,1014,0,3781,4415,159
1818,1,59,Reputation,18283,3,1014,0,3781,4433,159
1819,4,59,Reputation,18283,9,1014,0,3781,4490,159
1820,7,59,Reputation,18283,6,1014,0,3781,4586,159
1821,0,59,Reputation,18283,16,1014,0,3781,4716,159
1822,4,59,Reputation,18283,5,1014,0,3781,5176,159
1823,2,59,Reputation,18283,4,1014,0,3781,5177,159
1824,1,59,Reputation,18283,7,1014,0,3781,5496,159
1825,2,59,Reputation,18283,3,1014,0,3781,5497,159
1826,2,59,Reputation,18283,4,1014,0,3781,5498,159
1827,2,59,Reputation,18283,8,1014,0,3781,5830,159
1828,5,59,Reputation,18283,10,1014,0,3781,6332,159
1829,1,59,Reputation,18283,13,1014,0,3781,6333,159
1830,3,59,Reputation,18283,16,1014,0,3781,6476,159
1831,1,59,Reputation,18283,12,1014,0,3781,6500,159
1832,3,59,Reputation,18283,12,1014,0,3781,6596,159
1833,3,59,Reputation,18283,7,1014,0,3781,6973,159
1834,1,59,Reputation,18283,4,1014,0,3781,7038,159
1835,1,59,Reputation,18283,13,1014,0,3781,7828,159
1836,2,59,Reputation,18283,9,1014,0,3781,8398,159
1837,4,59,Reputation,18283,2,1014,0,3781,8474,159
1838,1,59,Reputation,18283,7,1014,0,3781,8751,159
1839,0,59,Reputation,18283,3,1014,0,3781,9078,159
1840,0,59,Reputation,18283,1,1014,0,3781,9119,159
1841,6,59,Reputation,18283,15,1014,0,3781,9144,159
1842,0,59,Reputation,18283,4,1014,0,3781,9476,159
1843,0,59,Reputation,18283,3,1014,0,3781,10968,159
1844,1,59,Reputation,18283,7,1014,0,3781,11649,159
1845,0,59,Reputation,18283,4,1014,0,3781,12737,159
1846,6,59,Reputation,18283,4,1014,0,3781,13227,159
1847,0,59,Reputation,18283,4,1014,0,3781,13228,159
1848,6,59,Reputation,18283,8,1014,226,3781,13530,159
1849,2,59,Reputation,18283,5,1014,0,3781,13574,159
1850,0,59,Reputation,18283,5,1014,0,3781,14252,159
1851,0,59,Reputation,18283,4,1014,0,3781,14779,159
1852,3,59,Reputation,18283,6,1014,0,3781,14780,159
1853,9,59,Reputation,18283,9,1014,0,3781,14923,159
1854,2,59,Reputation,18283,2,1014,0,3781,15492,159
1855,0,59,Reputation,18283,3,1014,0,3781,16431,159
1856,1,59,Reputation,18283,2,1014,0,3781,17089,159
1857,1,59,Reputation,18283,8,1014,0,3781,17187,159
1858,0,59,Reputation,18283,1,1014,0,3781,17406,159
